raw_text,title,denomination,category,date_of_issue,Image
"12th January 2001: 

St. Aloysius College Chapel Paintings 

Denomination	INR 15.00",St. Aloysius College Chapel Paintings,INR 15.00,,12 Jan 2001,https://postagestamps.gov.in/images/Stamps2001/12-01-2001.jpg
"31st Dec 2002:    

'T.T. Krishnamachari'  

Denomination        INR 05.00",'T.T. Krishnamachari',INR 05.00,,31 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel76.gif
"31st Dec 2002:    

'Forts of Andhra Pradesh -  Golconda  Fort'  

Denomination        INR 05.00",'Forts of Andhra Pradesh - Golconda Fort',INR 05.00,,31 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel77.gif
"31st Dec 2002:    

'Forts of Andhra Pradesh -    Chandragiri  Fort'  

Denomination	INR 05.00",'Forts of Andhra Pradesh - Chandragiri Fort',INR 05.00,,31 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel78.gif
"28th Dec 2002:    

'Dhiru Bhai H Ambani'  

Denomination	INR 05.00",'Dhiru Bhai H Ambani',INR 05.00,,28 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel75.gif
"24th Dec 2002:     'Gurukulat Kangri Vishwavidyalaya, Hardwar'  

Denomination	INR 05.00","'Gurukulat Kangri Vishwavidyalaya, Hardwar'",INR 05.00,,24 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel73.gif
"23rd Dec 2002:    

'Anglo Bengali Inter College, Allahabad '  

Denomination	INR 05.00","'Anglo Bengali Inter College, Allahabad '",INR 05.00,,23 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel72.gif
"17th Dec 2002:     'Matangini  Hazra'  

Denomination	INR 05.00",'Matangini Hazra',INR 05.00,,17 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel71.gif
"17th Dec 2002:    

'Ajoy Kumar Mukherjee'  

Denomination        INR 05.00",'Ajoy Kumar Mukherjee',INR 05.00,,17 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel70.gif
"1st Dec 2002:    

'Santidev Ghose'  

Denomination        INR 05.00",'Santidev Ghose',INR 05.00,,1 Dec 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel69.gif
"15th Nov 2002:    

'Cane and Bamboo'  

Denomination	INR 05.00",'Cane and Bamboo',INR 05.00,,15 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel65.gif
"15th Nov 2002:    

'Patan's Patola'  

Denomination	INR 05.00",'Patan's Patola',INR 05.00,,15 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel67.gif
"15th Nov 2002:     'Thewa'  

Denomination	INR 05.00",'Thewa',INR 05.00,,15 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel66.gif
"15th Nov 2002:     'Dhokra'  

Denomination	INR 05.00",'Dhokra',INR 05.00,,15 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel68.gif
"14th Nov 2002:     'Children's Day'  

Denomination	INR 05.00",'Children's Day',INR 05.00,,14 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel64.gif
"11th Nov 2002:    

 'Nagpur 1702-2002'  

Denomination	INR 05.00",'Nagpur 1702-2002',INR 05.00,,11 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel63.gif
"3rd Nov 2002:    

 'Swami Pranavananda'  

Denomination	INR 05.00",'Swami Pranavananda',INR 05.00,,3 Nov 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel62.gif
"30th Oct 2002:     'Brugueria Gymnorrhiza'  

Denomination	INR 05.00",'Brugueria Gymnorrhiza',INR 05.00,,30 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel61.gif
