raw_text,title,denomination,category,date_of_issue,Image
"A commemorative postage stamp on  PANCHAYATI RAJ 

 Date of Issue:  26 Jan 1962
 Denomination: 15 nP
 Category: Institution",PANCHAYATI RAJ,15 nP,Institution,26 Jan 1962,https://postagestamps.gov.in/Images/Stamps1962/26-01-1962.jpg
"A commemorative postage stamp on  GAUHATI REFINERY 

 Date of Issue:  01 Jan 1962
 Denomination: 15 nP
 Category: Institution",GAUHATI REFINERY,15 nP,Institution,01 Jan 1962,https://postagestamps.gov.in/Images/Stamps1962/01-01-1962.jpg
"A commemorative postage stamp on  UNIVERSAL DECLARATION OF HUMAN RIGHTS 15TH ANNIVERSARY - 10TH DECEMBER 1963 

 Date of Issue:  10 Dec 1963
 Denomination: 15 nP
 Category: Event",UNIVERSAL DECLARATION OF HUMAN RIGHTS 15TH ANNIVERSARY - 10TH DECEMBER 1963,15 nP,Event,10 Dec 1963,https://postagestamps.gov.in/Images/Stamps1963/10-12-1963.jpg
"A commemorative postage stamp on  CHILDREN'S DAY 14-11-63 

 Date of Issue:  14 Nov 1963
 Denomination: 15 nP
 Category: Event",CHILDREN'S DAY 14-11-63,15 nP,Event,14 Nov 1963,https://postagestamps.gov.in/Images/Stamps1963/14-11-1963.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : GAUR 

 Date of Issue:  07 Oct 1963
 Denomination: 10 nP
 Category: Thematic",WILD LIFE SERIES : GAUR,10 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-1.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : HIMLAYAN PANDA 

 Date of Issue:  07 Oct 1963
 Denomination: 15 nP
 Category: Thematic",WILD LIFE SERIES : HIMLAYAN PANDA,15 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-2.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : INDIAN ELEPHANT 

 Date of Issue:  07 Oct 1963
 Denomination: 30 nP
 Category: Thematic",WILD LIFE SERIES : INDIAN ELEPHANT,30 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-3.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : TIGER 

 Date of Issue:  07 Oct 1963
 Denomination: 50 nP
 Category: Thematic",WILD LIFE SERIES : TIGER,50 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-4.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : INDIAN LION 

 Date of Issue:  07 Oct 1963
 Denomination: INR 1.00
 Category: Thematic",WILD LIFE SERIES : INDIAN LION,INR 1.00,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-5.jpg
"A commemorative postage stamp on  ANNIE BESANT 1837-1933 

 Date of Issue:  01 Oct 1963
 Denomination: 15 nP
 Category: Personality",ANNIE BESANT 1837-1933,15 nP,Personality,01 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/01-10-1963.jpg
"A commemorative postage stamp on  DADBHPY NAOROJI 1825-1917 

 Date of Issue:  04 Sep 1963
 Denomination: 15 nP
 Category: Personality",DADBHPY NAOROJI 1825-1917,15 nP,Personality,04 Sep 1963,https://postagestamps.gov.in/Images/Stamps1963/04-09-1963.jpg
"A commemorative postage stamp on  THEY DEFEND 

 Date of Issue:  15 Aug 1963
 Denomination: 15 nP
 Category: Defence",THEY DEFEND,15 nP,Defence,15 Aug 1963,https://postagestamps.gov.in/Images/Stamps1963/15-08-1963-1.jpg
"A commemorative postage stamp on  THEY DEFEND 

 Date of Issue:  15 Aug 1963
 Denomination: INR 1.00
 Category: Defence",THEY DEFEND,INR 1.00,Defence,15 Aug 1963,https://postagestamps.gov.in/Images/Stamps1963/15-08-1963-2.jpg
"A commemorative postage stamp on  RED CROSS CENTENARY 1863-1963 

 Date of Issue:  08 May 1963
 Denomination: 15 nP
 Category: Event",RED CROSS CENTENARY 1863-1963,15 nP,Event,08 May 1963,https://postagestamps.gov.in/Images/Stamps1963/08-05-1963.jpg
"A commemorative postage stamp on  FREEDOM FROM HUNGER 

 Date of Issue:  21 Mar 1963
 Denomination: 15 nP
 Category: Event",FREEDOM FROM HUNGER,15 nP,Event,21 Mar 1963,https://postagestamps.gov.in/Images/Stamps1963/21-03-1963.jpg
"A commemorative postage stamp on  KALIDASA (OVERPRINT) 

 Date of Issue:  02 Feb 1963
 Denomination: INR 1.00
 Category: Personality",KALIDASA (OVERPRINT),INR 1.00,Personality,02 Feb 1963,https://postagestamps.gov.in/Images/Stamps1963/02-02-1963.jpg
"A commemorative postage stamp on  VIVEKANANDA 1863-1902 

 Date of Issue:  17 Jan 1963
 Denomination: 15 nP
 Category: Personality",VIVEKANANDA 1863-1902,15 nP,Personality,17 Jan 1963,https://postagestamps.gov.in/Images/Stamps1963/17-01-1963.jpg
"A commemorative postage stamp on  XXII INTERNATIONAL GEOLOGICAL CONGRESS 1964 

 Date of Issue:  14 Dec 1964
 Denomination: INR 0.15
 Category: Event",XXII INTERNATIONAL GEOLOGICAL CONGRESS 1964,INR 0.15,Event,14 Dec 1964,https://postagestamps.gov.in/Images/Stamps1964/14-12-1964.jpg
"A commemorative postage stamp on  ST. THOMAS 

 Date of Issue:  02 Dec 1964
 Denomination: INR 0.15
 Category: Personality",ST. THOMAS,INR 0.15,Personality,02 Dec 1964,https://postagestamps.gov.in/Images/Stamps1964/02-12-1964.jpg
"A commemorative postage stamp on  CHILDREN'S DAY 

 Date of Issue:  14 Nov 1964
 Denomination: INR 0.15
 Category: Event",CHILDREN'S DAY,INR 0.15,Event,14 Nov 1964,https://postagestamps.gov.in/Images/Stamps1964/14-11-1964.jpg
"A commemorative postage stamp on  VI INTERNATIONAL ORGANISATION FOR STANDARDISATION 

 Date of Issue:  09 Nov 1964
 Denomination: INR 0.15
 Category: Event",VI INTERNATIONAL ORGANISATION FOR STANDARDISATION,INR 0.15,Event,09 Nov 1964,https://postagestamps.gov.in/Images/Stamps1964/09-11-1964.jpg
"A commemorative postage stamp on  RAJA RAMMOHAN ROY 1772-1833 

 Date of Issue:  27 Sep 1964
 Denomination: 15 nP
 Category: Personality",RAJA RAMMOHAN ROY 1772-1833,15 nP,Personality,27 Sep 1964,https://postagestamps.gov.in/Images/Stamps1964/27-09-1964.jpg
"A commemorative postage stamp on  SRI AUROBINDO 1872-1950 

 Date of Issue:  15 Aug 1964
 Denomination: INR 0.15
 Category: Personality",SRI AUROBINDO 1872-1950,INR 0.15,Personality,15 Aug 1964,https://postagestamps.gov.in/Images/Stamps1964/15-08-1964.jpg
"A commemorative postage stamp on  ASUTOSH MOOKERJEE 1864-1924 

 Date of Issue:  29 Jun 1964
 Denomination: INR 0.15
 Category: Personality",ASUTOSH MOOKERJEE 1864-1924,INR 0.15,Personality,29 Jun 1964,https://postagestamps.gov.in/Images/Stamps1964/29-06-1964.jpg
"A commemorative postage stamp on  JAWAHARLAL NEHRU 1889-1964 

 Date of Issue:  12 Jun 1964
 Denomination: INR 0.15
 Category: Personality",JAWAHARLAL NEHRU 1889-1964,INR 0.15,Personality,12 Jun 1964,https://postagestamps.gov.in/Images/Stamps1964/12-06-1964.jpg
"A commemorative postage stamp on  DR. W M HAFFKINE 1860-1930 

 Date of Issue:  16 Mar 1964
 Denomination: 15 nP
 Category: Personality",DR. W M HAFFKINE 1860-1930,15 nP,Personality,16 Mar 1964,https://postagestamps.gov.in/Images/Stamps1964/16-03-1964.jpg
"A commemorative postage stamp on  KASTURBA GANDHI 1869-1944 

 Date of Issue:  22 Feb 1964
 Denomination: 15 nP
 Category: Personality",KASTURBA GANDHI 1869-1944,15 nP,Personality,22 Feb 1964,https://postagestamps.gov.in/Images/Stamps1964/22-02-1964.jpg
"A commemorative postage stamp on  SAROJINI NAIDU 1879-1949 

 Date of Issue:  13 Feb 1964
 Denomination: 15 nP
 Category: Personality",SAROJINI NAIDU 1879-1949,15 nP,Personality,13 Feb 1964,https://postagestamps.gov.in/Images/Stamps1964/13-02-1964.jpg
"A commemorative postage stamp on  NETAJI SUBHAS CHANDRA BOSE 

 Date of Issue:  23 Jan 1964
 Denomination: 15 nP
 Category: Personality",NETAJI SUBHAS CHANDRA BOSE,15 nP,Personality,23 Jan 1964,https://postagestamps.gov.in/Images/Stamps1964/23-01-1964-1.jpg
"A commemorative postage stamp on  NETAJI SUBHAS CHANDRA BOSE - SIXTY SEVENTH BIRTH ANNIVERSARY 

 Date of Issue:  23 Jan 1964
 Denomination: 55 nP
 Category: Personality",NETAJI SUBHAS CHANDRA BOSE - SIXTY SEVENTH BIRTH ANNIVERSARY,55 nP,Personality,23 Jan 1964,https://postagestamps.gov.in/Images/Stamps1964/23-01-1964-2.jpg
"A commemorative postage stamp on  PURANDARADASA 15/16 TH CENTURY 

 Date of Issue:  14 Jan 1964
 Denomination: 15 nP
 Category: Personality",PURANDARADASA 15/16 TH CENTURY,15 nP,Personality,14 Jan 1964,https://postagestamps.gov.in/Images/Stamps1964/14-01-1964.jpg
"A commemorative postage stamp on  XXVI INTERNATIONAL CONGRESS OF ORIENTALISTS, NEW DELHI 

 Date of Issue:  04 Jan 1964
 Denomination: 15 nP
 Category: Event","XXVI INTERNATIONAL CONGRESS OF ORIENTALISTS, NEW DELHI",15 nP,Event,04 Jan 1964,https://postagestamps.gov.in/Images/Stamps1964/04-01-1964-1.jpg
"A commemorative postage stamp on  UTKALMANI PANDIT GOPABANDHU DAS 1877-1928 

 Date of Issue:  04 Jan 1964
 Denomination: 15 nP
 Category: Personality",UTKALMANI PANDIT GOPABANDHU DAS 1877-1928,15 nP,Personality,04 Jan 1964,https://postagestamps.gov.in/Images/Stamps1964/04-01-1964-2.jpg
"A commemorative postage stamp on  VIDYAPATI 14TH CENTURY 

 Date of Issue:  17 Nov 1965
 Denomination: INR 0.15
 Category: Personality",VIDYAPATI 14TH CENTURY,INR 0.15,Personality,17 Nov 1965,https://postagestamps.gov.in/Images/Stamps1965/17-11-1965.jpg
"A commemorative postage stamp on  CHITTARANJAN DAS 1870-1925 

 Date of Issue:  05 Nov 1965
 Denomination: INR 0.15
 Category: Personality",CHITTARANJAN DAS 1870-1925,INR 0.15,Personality,05 Nov 1965,https://postagestamps.gov.in/Images/Stamps1965/05-11-1965.jpg
"A commemorative postage stamp on  VALLABHBHAI PATEL 1875-1950 

 Date of Issue:  31 Oct 1965
 Denomination: INR 0.15
 Category: Personality",VALLABHBHAI PATEL 1875-1950,INR 0.15,Personality,31 Oct 1965,https://postagestamps.gov.in/Images/Stamps1965/31-10-1965.jpg
"A commemorative postage stamp on  GOVIND BALLABH PANT 1887-1961 

 Date of Issue:  10 Sep 1965
 Denomination: INR 0.15
 Category: Personality",GOVIND BALLABH PANT 1887-1961,INR 0.15,Personality,10 Sep 1965,https://postagestamps.gov.in/Images/Stamps1965/10-09-1965.jpg
"A commemorative postage stamp on  INDIAN MT. EVEREST EXPEDITION 

 Date of Issue:  15 Aug 1965
 Denomination: INR 0.15
 Category: Event",INDIAN MT. EVEREST EXPEDITION,INR 0.15,Event,15 Aug 1965,https://postagestamps.gov.in/Images/Stamps1965/15-08-1965.jpg
"A commemorative postage stamp on  INTERNATIONAL COOPERATION YEAR 1965 

 Date of Issue:  26 Jun 1965
 Denomination: INR 0.15
 Category: Event",INTERNATIONAL COOPERATION YEAR 1965,INR 0.15,Event,26 Jun 1965,https://postagestamps.gov.in/Images/Stamps1965/26-06-1965.jpg
"A commemorative postage stamp on  JAWAHAR JYOTI 

 Date of Issue:  27 May 1965
 Denomination: INR 0.15
 Category: Thematic",JAWAHAR JYOTI,INR 0.15,Thematic,27 May 1965,https://postagestamps.gov.in/Images/Stamps1965/27-05-1965.jpg
"A commemorative postage stamp on  INTERNATIONAL TELECOMMUNICATION UNION CENTENARY 

 Date of Issue:  17 May 1965
 Denomination: INR 0.15
 Category: Event",INTERNATIONAL TELECOMMUNICATION UNION CENTENARY,INR 0.15,Event,17 May 1965,https://postagestamps.gov.in/Images/Stamps1965/17-05-1965.jpg
"A commemorative postage stamp on  ABRAHAM LINCOLN 1809-1865 

 Date of Issue:  15 Apr 1965
 Denomination: INR 0.15
 Category: Personality",ABRAHAM LINCOLN 1809-1865,INR 0.15,Personality,15 Apr 1965,https://postagestamps.gov.in/Images/Stamps1965/15-04-1965.jpg
"A commemorative postage stamp on  VISAKHAPATNAM 

 Date of Issue:  05 Apr 1965
 Denomination: INR 0.15
 Category: Thematic",VISAKHAPATNAM,INR 0.15,Thematic,05 Apr 1965,https://postagestamps.gov.in/Images/Stamps1965/05-04-1965.jpg
"A commemorative postage stamp on  INTERNATIONAL CHAMBER OF COMMERCE NEW DELHI 

 Date of Issue:  08 Feb 1965
 Denomination: INR 0.15
 Category: Institution",INTERNATIONAL CHAMBER OF COMMERCE NEW DELHI,INR 0.15,Institution,08 Feb 1965,https://postagestamps.gov.in/Images/Stamps1965/08-02-1965.jpg
"A commemorative postage stamp on  LALA LAJPATRAI 

 Date of Issue:  28 Jan 1965
 Denomination: INR 0.15
 Category: Personality",LALA LAJPATRAI,INR 0.15,Personality,28 Jan 1965,https://postagestamps.gov.in/Images/Stamps1965/28-01-1965.jpg
"A commemorative postage stamp on  JAMSETJI TATA 1839-1904 

 Date of Issue:  07 Jan 1965
 Denomination: INR 0.15
 Category: Personality",JAMSETJI TATA 1839-1904,INR 0.15,Personality,07 Jan 1965,https://postagestamps.gov.in/Images/Stamps1965/07-01-1965.jpg
"A commemorative postage stamp on  5TH ASIAN GAMES 1966 HOCKEY CHAMPIONS 

 Date of Issue:  31 Dec 1966
 Denomination: 15 nP
 Category: Thematic",5TH ASIAN GAMES 1966 HOCKEY CHAMPIONS,15 nP,Thematic,31 Dec 1966,https://postagestamps.gov.in/Images/Stamps1966/31-12-1966.jpg
"A commemorative postage stamp on  FAMILY PLANNING WEEK 1966 

 Date of Issue:  12 Dec 1966
 Denomination: 15 nP
 Category: Thematic",FAMILY PLANNING WEEK 1966,15 nP,Thematic,12 Dec 1966,https://postagestamps.gov.in/Images/Stamps1966/12-12-1966.jpg
"A commemorative postage stamp on  ALLAHABAD HIGH COURT 1866-1966 

 Date of Issue:  25 Nov 1966
 Denomination: 15 nP
 Category: Institution",ALLAHABAD HIGH COURT 1866-1966,15 nP,Institution,25 Nov 1966,https://postagestamps.gov.in/Images/Stamps1966/25-11-1966.jpg
"A commemorative postage stamp on  CHILDREN'S DAY 

 Date of Issue:  14 Nov 1966
 Denomination: 15 nP
 Category: Event",CHILDREN'S DAY,15 nP,Event,14 Nov 1966,https://postagestamps.gov.in/Images/Stamps1966/14-11-1966.jpg
"A commemorative postage stamp on  ABUL KALAM AZAD 1888-1958 

 Date of Issue:  11 Nov 1966
 Denomination: 15 nP
 Category: Personality",ABUL KALAM AZAD 1888-1958,15 nP,Personality,11 Nov 1966,https://postagestamps.gov.in/Images/Stamps1966/11-11-1966.jpg
"A commemorative postage stamp on  SWAMI RAMA TIRTHA 

 Date of Issue:  11 Nov 1966
 Denomination: 15 nP
 Category: Personality",SWAMI RAMA TIRTHA,15 nP,Personality,11 Nov 1966,https://postagestamps.gov.in/Images/Stamps1966/11-11-1966-1.jpg
"A commemorative postage stamp on  HOMI BHABHA 

 Date of Issue:  04 Aug 1966
 Denomination: 15 nP
 Category: Personality",HOMI BHABHA,15 nP,Personality,04 Aug 1966,https://postagestamps.gov.in/Images/Stamps1966/04-08-1966.jpg
"A commemorative postage stamp on  MAHARAJA RANJIT SINGH 1780-1839 

 Date of Issue:  28 Jun 1966
 Denomination: INR 0.15
 Category: Personality",MAHARAJA RANJIT SINGH 1780-1839,INR 0.15,Personality,28 Jun 1966,https://postagestamps.gov.in/Images/Stamps1966/28-06-1966.jpg
"A commemorative postage stamp on  ACHARYA MAHAVIR PRASAD DVIVEDI 1864-1938 

 Date of Issue:  15 May 1966
 Denomination: INR 0.15
 Category: Personality",ACHARYA MAHAVIR PRASAD DVIVEDI 1864-1938,INR 0.15,Personality,15 May 1966,https://postagestamps.gov.in/Images/Stamps1966/15-05-1966.jpg
"A commemorative postage stamp on  GOPAL KRISHNA GOKHALE 1866-1915 

 Date of Issue:  09 May 1966
 Denomination: INR 0.15
 Category: Personality",GOPAL KRISHNA GOKHALE 1866-1915,INR 0.15,Personality,09 May 1966,https://postagestamps.gov.in/Images/Stamps1966/09-05-1966.jpg
"A commemorative postage stamp on  KUNWAR SINGH 1777-1858 

 Date of Issue:  23 Apr 1966
 Denomination: INR 0.15
 Category: Personality",KUNWAR SINGH 1777-1858,INR 0.15,Personality,23 Apr 1966,https://postagestamps.gov.in/Images/Stamps1966/23-04-1966.jpg
"A commemorative postage stamp on  B R AMBEDKAR. 1891-1956 

 Date of Issue:  14 Apr 1966
 Denomination: INR 0.15
 Category: Personality",B R AMBEDKAR. 1891-1956,INR 0.15,Personality,14 Apr 1966,https://postagestamps.gov.in/Images/Stamps1966/14-04-1966.jpg
"A commemorative postage stamp on  KAMBAR 9TH CENTURY A.D. 

 Date of Issue:  05 Apr 1966
 Denomination: INR 0.15
 Category: Personality",KAMBAR 9TH CENTURY A.D.,INR 0.15,Personality,05 Apr 1966,https://postagestamps.gov.in/Images/Stamps1966/05-04-1966.jpg
"A commemorative postage stamp on  JAI JAWAN 

 Date of Issue:  26 Jan 1966
 Denomination: INR 0.15
 Category: Thematic",JAI JAWAN,INR 0.15,Thematic,26 Jan 1966,https://postagestamps.gov.in/Images/Stamps1966/26-01-1966-1.jpg
"A commemorative postage stamp on  LAL BAHADUR SHASTRI 1904-1966 

 Date of Issue:  26 Jan 1966
 Denomination: INR 0.15
 Category: Personality",LAL BAHADUR SHASTRI 1904-1966,INR 0.15,Personality,26 Jan 1966,https://postagestamps.gov.in/Images/Stamps1966/26-01-1966-2.jpg
"A commemorative postage stamp on  PACIFIC AREA TRAVEL ASSOCIATION 

 Date of Issue:  24 Jan 1966
 Denomination: INR 0.15
 Category: Institution",PACIFIC AREA TRAVEL ASSOCIATION,INR 0.15,Institution,24 Jan 1966,https://postagestamps.gov.in/Images/Stamps1966/24-01-1966.jpg
"A commemorative postage stamp on  DIAMOND JUBILEE SCOUT MOVEMENT 

 Date of Issue:  27 Dec 1967
 Denomination: 15 nP
 Category: Event",DIAMOND JUBILEE SCOUT MOVEMENT,15 nP,Event,27 Dec 1967,https://postagestamps.gov.in/Images/Stamps1967/27-12-1967.jpg
"A commemorative postage stamp on  RASHBEHARI BASU 1886-1945 

 Date of Issue:  26 Dec 1967
 Denomination: 15 nP
 Category: Personality",RASHBEHARI BASU 1886-1945,15 nP,Personality,26 Dec 1967,https://postagestamps.gov.in/Images/Stamps1967/26-12-1967.jpg
"A commemorative postage stamp on  NEHRU AND NAGALAND 

 Date of Issue:  12 Dec 1967
 Denomination: 15 nP
 Category: Thematic",NEHRU AND NAGALAND,15 nP,Thematic,12 Dec 1967,https://postagestamps.gov.in/Images/Stamps1967/12-12-1967.jpg
"A commemorative postage stamp on  WORLD WRESTLING CHAMPIONSHIPS 

 Date of Issue:  12 Nov 1967
 Denomination: 15 nP
 Category: Event",WORLD WRESTLING CHAMPIONSHIPS,15 nP,Event,12 Nov 1967,https://postagestamps.gov.in/Images/Stamps1967/12-11-1967.jpg
"A commemorative postage stamp on  INDO-EUROPEAN TELEGRAPH LINE 1867-1967 

 Date of Issue:  09 Nov 1967
 Denomination: 15 nP
 Category: Event",INDO-EUROPEAN TELEGRAPH LINE 1867-1967,15 nP,Event,09 Nov 1967,https://postagestamps.gov.in/Images/Stamps1967/09-11-1967.jpg
"A commemorative postage stamp on  1942 QUIT INDIA 

 Date of Issue:  01 Oct 1967
 Denomination: 15 nP
 Category: Event",1942 QUIT INDIA,15 nP,Event,01 Oct 1967,https://postagestamps.gov.in/Images/Stamps1967/01-10-1967.jpg
"A commemorative postage stamp on  DR. RADHAKRISHNAN PRESIDENT OF INDIA 1962-1967 

 Date of Issue:  05 Sep 1967
 Denomination: 15 nP
 Category: Personality",DR. RADHAKRISHNAN PRESIDENT OF INDIA 1962-1967,15 nP,Personality,05 Sep 1967,https://postagestamps.gov.in/Images/Stamps1967/05-09-1967.jpg
"A commemorative postage stamp on  NARAYANA GURU 1855-1928 

 Date of Issue:  21 Aug 1967
 Denomination: 15 nP
 Category: Personality",NARAYANA GURU 1855-1928,15 nP,Personality,21 Aug 1967,https://postagestamps.gov.in/Images/Stamps1967/21-08-1967.jpg
"A commemorative postage stamp on  MAHARANA PRATAP 1540-1597 

 Date of Issue:  11 Jun 1967
 Denomination: 15 nP
 Category: Personality",MAHARANA PRATAP 1540-1597,15 nP,Personality,11 Jun 1967,https://postagestamps.gov.in/Images/Stamps1967/11-06-1967.jpg
"A commemorative postage stamp on  NARSINHA MEHTA 15TH CENTURY 

 Date of Issue:  30 May 1967
 Denomination: 15 nP
 Category: Personality",NARSINHA MEHTA 15TH CENTURY,15 nP,Personality,30 May 1967,https://postagestamps.gov.in/Images/Stamps1967/30-05-1967.jpg
"A commemorative postage stamp on  BASAVESWARA 12TH CENTURY 

 Date of Issue:  11 May 1967
 Denomination: 15 nP
 Category: Personality",BASAVESWARA 12TH CENTURY,15 nP,Personality,11 May 1967,https://postagestamps.gov.in/Images/Stamps1967/11-05-1967.jpg
"A commemorative postage stamp on  SURVEY OF INDIA BICENTENARY 1767-1967 

 Date of Issue:  01 May 1967
 Denomination: 15 nP
 Category: Event",SURVEY OF INDIA BICENTENARY 1767-1967,15 nP,Event,01 May 1967,https://postagestamps.gov.in/Images/Stamps1967/01-05-1967.jpg
"A commemorative postage stamp on  NANDALAL BOSE 1882-1966 

 Date of Issue:  16 Apr 1967
 Denomination: 15 nP
 Category: Personality",NANDALAL BOSE 1882-1966,15 nP,Personality,16 Apr 1967,https://postagestamps.gov.in/Images/Stamps1967/16-04-1967.jpg
"A commemorative postage stamp on  INTERNATIONAL TOURIST YEAR 1967 

 Date of Issue:  19 Mar 1967
 Denomination: 15 nP
 Category: Event",INTERNATIONAL TOURIST YEAR 1967,15 nP,Event,19 Mar 1967,https://postagestamps.gov.in/Images/Stamps1967/19-03-1967.jpg
"A commemorative postage stamp on  GURU GOBIND SINGH 

 Date of Issue:  17 Jan 1967
 Denomination: 15 nP
 Category: Personality",GURU GOBIND SINGH,15 nP,Personality,17 Jan 1967,https://postagestamps.gov.in/Images/Stamps1967/17-01-1967.jpg
"A commemorative postage stamp on  GENERAL ELECTION 

 Date of Issue:  13 Jan 1967
 Denomination: 15 nP
 Category: Thematic",GENERAL ELECTION,15 nP,Thematic,13 Jan 1967,https://postagestamps.gov.in/Images/Stamps1967/13-01-1967.jpg
"A commemorative postage stamp on  JAI KISAN 

 Date of Issue:  11 Jan 1967
 Denomination: 15 nP
 Category: Thematic",JAI KISAN,15 nP,Thematic,11 Jan 1967,https://postagestamps.gov.in/Images/Stamps1967/11-01-1967.jpg
"A commemorative postage stamp on  BIRDS SERIES : BLUE MAGPIE 

 Date of Issue:  31 Dec 1968
 Denomination: 20 nP
 Category: Thematic",BIRDS SERIES : BLUE MAGPIE,20 nP,Thematic,31 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/31-12-1968-1.jpg
"A commemorative postage stamp on  BIRDS SERIES : WOODPECKER 

 Date of Issue:  31 Dec 1968
 Denomination: 50 nP
 Category: Thematic",BIRDS SERIES : WOODPECKER,50 nP,Thematic,31 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/31-12-1968-2.jpg
"A commemorative postage stamp on  BIRDS SERIES : BABBLER 

 Date of Issue:  31 Dec 1968
 Denomination: INR 1.00
 Category: Thematic",BIRDS SERIES : BABBLER,INR 1.00,Thematic,31 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/31-12-1968-3.jpg
"A commemorative postage stamp on  BIRDS SERIES : SUNBIRD 

 Date of Issue:  31 Dec 1968
 Denomination: INR 2.00
 Category: Thematic",BIRDS SERIES : SUNBIRD,INR 2.00,Thematic,31 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/31-12-1968-4.jpg
"A commemorative postage stamp on  COCHIN SYNAGOGUE 1568-1968 

 Date of Issue:  15 Dec 1968
 Denomination: 20 nP
 Category: Institution",COCHIN SYNAGOGUE 1568-1968,20 nP,Institution,15 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/15-12-1968-1.jpg
"A commemorative postage stamp on  INS NILGIRI 

 Date of Issue:  15 Dec 1968
 Denomination: 20 nP
 Category: Defence",INS NILGIRI,20 nP,Defence,15 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/15-12-1968.jpg
"A commemorative postage stamp on  21ST INTERNATIONAL GEOGRAPHICAL CONGRESS 

 Date of Issue:  01 Dec 1968
 Denomination: 20 nP
 Category: Event",21ST INTERNATIONAL GEOGRAPHICAL CONGRESS,20 nP,Event,01 Dec 1968,https://postagestamps.gov.in/Images/Stamps1968/01-12-1968.jpg
"A commemorative postage stamp on  MARIE CURIE 1867-1934 

 Date of Issue:  06 Nov 1968
 Denomination: 20 nP
 Category: Personality",MARIE CURIE 1867-1934,20 nP,Personality,06 Nov 1968,https://postagestamps.gov.in/Images/Stamps1968/06-11-1968.jpg
"A commemorative postage stamp on  SISTER NIVEDITA 1867-1911 

 Date of Issue:  27 Oct 1968
 Denomination: 20 nP
 Category: Personality",SISTER NIVEDITA 1867-1911,20 nP,Personality,27 Oct 1968,https://postagestamps.gov.in/Images/Stamps1968/27-10-1968.jpg
"A commemorative postage stamp on  AZAD HIND GOVERNMENT 25TH ANNIVERSARY 

 Date of Issue:  21 Oct 1968
 Denomination: 20 nP
 Category: Institution",AZAD HIND GOVERNMENT 25TH ANNIVERSARY,20 nP,Institution,21 Oct 1968,https://postagestamps.gov.in/Images/Stamps1968/21-10-1968.jpg
"A commemorative postage stamp on  BHAGAT SINGH 1907-1931 

 Date of Issue:  19 Oct 1968
 Denomination: 20 nP
 Category: Personality",BHAGAT SINGH 1907-1931,20 nP,Personality,19 Oct 1968,https://postagestamps.gov.in/Images/Stamps1968/19-10-1968.jpg
"A commemorative postage stamp on  XIX OLYMPICS 

 Date of Issue:  12 Oct 1968
 Denomination: 20 nP
 Category: Event",XIX OLYMPICS,20 nP,Event,12 Oct 1968,https://postagestamps.gov.in/Images/Stamps1968/12-10-1968-1.jpg
"A commemorative postage stamp on  XIX OLYMPICS 

 Date of Issue:  12 Oct 1968
 Denomination: INR 1.00
 Category: Event",XIX OLYMPICS,INR 1.00,Event,12 Oct 1968,https://postagestamps.gov.in/Images/Stamps1968/12-10-1968-2.jpg
"A commemorative postage stamp on  LAKSHMINATH BEZBARUAH 1868-1938 

 Date of Issue:  05 Oct 1968
 Denomination: 20 nP
 Category: Personality",LAKSHMINATH BEZBARUAH 1868-1938,20 nP,Personality,05 Oct 1968,https://postagestamps.gov.in/Images/Stamps1968/05-10-1968.jpg
"A commemorative postage stamp on  GAGANENDRANATH TAGORE 1867-1938 

 Date of Issue:  17 Sep 1968
 Denomination: 20 nP
 Category: Personality",GAGANENDRANATH TAGORE 1867-1938,20 nP,Personality,17 Sep 1968,https://postagestamps.gov.in/Images/Stamps1968/17-09-1968.jpg
"A commemorative postage stamp on  WHEAT REVOLUTION 

 Date of Issue:  17 Jul 1968
 Denomination: 20 nP
 Category: Thematic",WHEAT REVOLUTION,20 nP,Thematic,17 Jul 1968,https://postagestamps.gov.in/Images/Stamps1968/17-07-1968.jpg
"A commemorative postage stamp on  100,000 POST OFFICES 

 Date of Issue:  01 Jul 1968
 Denomination: 20 nP
 Category: Event","100,000 POST OFFICES",20 nP,Event,01 Jul 1968,https://postagestamps.gov.in/Images/Stamps1968/01-07-1968.jpg
